timID,treatment,site,phenotype,size,sex,age,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr
4,twice,FHA,striped,13,F,old,sit,run,run,run,run,sit,run,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
5,twice,FHA,striped,23,F,old,sit,run,run,sit,run,sit,run,sit,run,sit,0,0,0,0,0,0,0,0,0,0
6,twice,FHA,striped,14,F,old,run,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
7,twice,FHA,striped,22,F,old,sit,run,run,run,run,sit,sit,run,sit,sit,0,0,0,0,0,0,0,0,0,0
8,twice,FHA,striped,14,M,old,sit,sit,run,run,run,run,run,sit,run,run,0,0,0,0,0,0,0,0,0,0
9,twice,FHA,striped,15,F,old,run,sit,run,run,run,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
10,twice,FHA,striped,19,F,old,sit,300,0.5,227,sit,sit,sit,run,sit,run,0,1,1,1,0,0,0,0,0,0
11,twice,FHA,striped,16,F,old,sit,sit,107,85,0.5,sit,sit,run,run,sit,0,0,1,1,1,0,0,0,0,0
12,twice,FHA,striped,14,M,old,run,run,run,run,run,run,0.5,run,run,run,0,0,0,0,0,0,1,0,0,0
13,twice,FHA,striped,19,F,old,sit,run,run,run,run,sit,0.5,run,sit,run,0,0,0,0,0,0,1,0,0,0
14,twice,FHA,striped,14,M,old,sit,run,run,run,run,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
15,twice,FHA,striped,14,M,old,sit,run,run,run,run,run,run,run,sit,run,0,0,0,0,0,0,0,0,0,0
16,twice,FHA,striped,20,F,old,sit,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
17,twice,FHA,striped,13,F,old,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
18,twice,FHA,striped,14,M,old,run,run,run,sit,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
21,twice,FHA,striped,15,M,old,run,sit,run,run,run,sit,sit,run,run,sit,0,0,0,0,0,0,0,0,0,0
22,twice,FHA,striped,18,F,old,run,run,run,run,run,sit,sit,sit,run,run,0,0,0,0,0,0,0,0,0,0
23,twice,FHA,striped,21,F,old,sit,sit,sit,sit,sit,0.5,0.5,0.5,run,0.5,0,0,0,0,0,1,1,1,0,1
25,twice,FHA,striped,25,F,old,sit,sit,sit,run,run,0.5,run,run,run,run,0,0,0,0,0,1,0,0,0,0
27,twice,FHA,striped,14,F,old,sit,sit,sit,sit,sit,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
28,twice,FHA,green,12,M,old,sit,sit,run,run,run,sit,sit,sit,0.5,sit,0,0,0,0,0,0,0,0,1,0
30,twice,FHA,striped,20,F,old,sit,sit,sit,run,sit,sit,sit,0.5,sit,sit,0,0,0,0,0,0,0,1,0,0
32,twice,FHA,striped,12,F,old,sit,sit,sit,run,sit,sit,0.5,run,run,run,0,0,0,0,0,0,1,0,0,0
33,twice,FHA,striped,19,F,old,sit,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
34,twice,FHA,striped,18,F,old,sit,0.5,sit,run,run,sit,sit,run,run,run,0,1,0,0,0,0,0,0,0,0
35,twice,FHA,grey,15,M,old,sit,run,run,run,sit,sit,sit,sit,run,sit,0,0,0,0,0,0,0,0,0,0
36,twice,FHA,green,14,M,old,run,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
38,twice,FHA,striped,14,F,old,sit,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
41,twice,FHA,striped,15,M,old,sit,run,run,run,run,run,sit,sit,run,run,0,0,0,0,0,0,0,0,0,0
42,twice,FHA,green,18,F,old,sit,sit,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
47,twice,FHA,striped,16,F,old,sit,sit,sit,sit,run,sit,0.5,run,run,run,0,0,0,0,0,0,1,0,0,0
49,twice,FHA,green,14,M,old,run,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
51,twice,FHA,striped,17,F,old,sit,run,sit,run,run,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
52,twice,FHA,striped,15,M,old,sit,sit,sit,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
53,twice,FHA,striped,17,F,old,115,0.5,sit,0.5,0.5,sit,0.5,run,run,sit,1,1,0,1,1,0,1,0,0,0
54,twice,FHA,striped,16,M,old,0.5,run,run,sit,sit,sit,sit,sit,sit,sit,1,0,0,0,0,0,0,0,0,0
55,twice,FHA,striped,14,M,old,sit,sit,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
56,twice,FHA,striped,17,F,old,sit,sit,sit,sit,sit,sit,sit,run,sit,sit,0,0,0,0,0,0,0,0,0,0
57,twice,FHA,grey,15,M,old,sit,sit,run,run,run,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
61,twice,FHA,striped,13,F,old,sit,run,run,run,run,run,run,run,run,sit,0,0,0,0,0,0,0,0,0,0
