"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.74973977766178,1.41075966589169,1.94911992747097,0.0512811044162119
"size",-0.274576190070279,0.0938173961177429,-2.92670870683386,0.00342569569434668
"gflow",0.247019423443334,0.668988495544437,0.369243156031114,0.711946491207827
"c.host",0.208469991484349,0.561126562438939,0.371520447326951,0.710249929242503
"c.color",0.357138155968793,0.546324631721123,0.65371051428466,0.513298327997775
"c.sex",0.0706725256908539,0.444667702293492,0.158933345791344,0.873721388452781
"c.host:c.color",0.952883429515654,1.19151165915225,0.799726483745548,0.423869285200722
