number,pop,allo,pzise,gflow,host,pop2,date,unq,color,sex,age,size,t1Beh,t2Beh,t1shmp,t2shmp,shmp
16,og,-1,99,0.01,a,oga,27/04/2012,oga16,striped,female,juvenile,14,sit,sit,0,0,0
17,og,-1,99,0.01,a,oga,27/04/2012,oga17,striped,female,juvenile,14,sit,sit,0,0,0
18,og,-1,99,0.01,a,oga,27/04/2012,oga18,striped,male,juvenile,13,run,run,0,0,0
20,og,-1,99,0.01,a,oga,27/04/2012,oga20,striped,male,juvenile,11,shrimp,run,1,0,1
21,og,-1,99,0.01,a,oga,27/04/2012,oga21,striped,female,juvenile,11,sit,sit,0,0,0
23,og,-1,99,0.01,a,oga,27/04/2012,oga23,striped,female,juvenile,11,run,run,0,0,0
16,og,-1,1,0.99,c,ogc,29/04/2012,ogc16,dark,male,juvenile,11,sit,run,0,0,0
3,og,-1,1,0.99,c,ogc,29/04/2012,ogc3,green,female,juvenile,17,run,run,0,0,0
5,og,-1,1,0.99,c,ogc,29/04/2012,ogc5,green,female,juvenile,15,sit,sit,0,0,0
6,og,-1,1,0.99,c,ogc,29/04/2012,ogc6,green,female,juvenile,14,run,sit ,0,0,0
7,og,-1,1,0.99,c,ogc,29/04/2012,ogc7,green,female,juvenile,12,shrimp,shrimp,1,1,1
8,og,-1,1,0.99,c,ogc,29/04/2012,ogc8,green,female,juvenile,16,sit,sit,0,0,0
12,og,-1,1,0.99,c,ogc,29/04/2012,ogc12,green,female,adult,17,sit,run,0,0,0
13,og,-1,1,0.99,c,ogc,29/04/2012,ogc13,green,female,juvenile,11,run,sit,0,0,0
19,og,-1,1,0.99,c,ogc,29/04/2012,ogc19,green,female,juvenile,14,sit,run,0,0,0
2,og,-1,1,0.99,c,ogc,29/04/2012,ogc2,striped,female,juvenile,19,run,run,0,0,0
4,og,-1,1,0.99,c,ogc,29/04/2012,ogc4,striped,female,juvenile,14,sit,sit,0,0,0
9,og,-1,1,0.99,c,ogc,29/04/2012,ogc9,striped,female,adult ,18,sit,run,0,0,0
10,og,-1,1,0.99,c,ogc,29/04/2012,ogc10,striped,female ,juvenile,15,shrimp,run,1,0,1
11,og,-1,1,0.99,c,ogc,29/04/2012,ogc11,striped,female,juvenile,16,sit,run,0,0,0
14,og,-1,1,0.99,c,ogc,29/04/2012,ogc14,striped,male,juvenile,11,shrimp,shrimp,1,1,1
15,og,-1,1,0.99,c,ogc,29/04/2012,ogc15,striped,female,juvenile,14,run,run,0,0,0
17,og,-1,1,0.99,c,ogc,29/04/2012,ogc17,striped,male,adult,15,shrimp,run,1,0,1
20,og,-1,1,0.99,c,ogc,29/04/2012,ogc20,striped,female,juvenile,15,sit,sit,0,0,0
21,og,-1,1,0.99,c,ogc,29/04/2012,ogc21,striped,male,juvenile,14,sit,sit,0,0,0
14,out,-1,33,0.67,a,outa,24/04/2012,outa14,dark,female,juvenile,13,sit,shrimp,0,1,1
4,out,-1,33,0.67,a,outa,24/04/2012,outa4,dark,male,juvenile,14,shrimp,shrimp,1,1,1
10,out,-1,33,0.67,a,outa,24/04/2012,outa10,dark,male,juvenile,14,sit,sit,0,0,0
11,out,-1,33,0.67,a,outa,24/04/2012,outa11,dark,male,juvenile,12,run,sit,0,0,0
21,out,-1,33,0.67,a,outa,24/04/2012,outa21,green,female,juvenile,19,shrimp,sit,1,0,1
16,out,-1,33,0.67,a,outa,24/04/2012,outa16,green,male,juvenile,13,run,sit,0,0,0
18,out,-1,33,0.67,a,outa,24/04/2012,outa18,green,male,juvenile,12,sit,shrimp,0,1,1
19,out,-1,33,0.67,a,outa,24/04/2012,outa19,green,female,juvenile,13,run,run,0,0,0
12,out,-1,33,0.67,a,outa,24/04/2012,outa12,green,female,adult,20,sit,run,0,0,0
15,out,-1,33,0.67,a,outa,24/04/2012,outa15,green,female,juvenile,17,run,run,0,0,0
2,out,-1,33,0.67,a,outa,24/04/2012,outa2,green,male,juvenile,12,shrimp,shrimp,1,1,1
6,out,-1,33,0.67,a,outa,24/04/2012,outa6,striped,male,juvenile,13,run,run,0,0,0
5,out,-1,33,0.67,a,outa,24/04/2012,outa5,striped,male,juvenile,12,shrimp,shrimp,1,1,1
23,out,-1,33,0.67,a,outa,24/04/2012,outa23,striped,female,juvenile,14,shrimp,run,1,0,1
17,out,-1,33,0.67,a,outa,24/04/2012,outa17,striped,male,juvenile,12,shrimp,run,1,0,1
3,out,-1,33,0.67,a,outa,24/04/2012,outa3,striped,female,juvenile,16,shrimp,sit,1,0,1
9,out,-1,33,0.67,a,outa,24/04/2012,outa9,striped,male,adult,15,sit,sit,0,0,0
20,out,-1,33,0.67,a,outa,24/04/2012,outa20,striped,male,juvenile,14,run,sit,0,0,0
7,out,-1,33,0.67,a,outa,24/04/2012,outa7,striped,male,juvenile,15,sit,sit,0,0,0
13,out,-1,33,0.67,a,outa,24/04/2012,outa13,striped,male,adult,14,run,sit,0,0,0
6,pr,1,100,0,c,prc,25/04/2012,prc6,dark,female,adult,18,shrimp,shrimp,1,1,1
2,pr,1,100,0,c,prc,25/04/2012,prc2,green,female,juvenile,15,sit,sit,0,0,0
3,pr,1,100,0,c,prc,25/04/2012,prc3,green,female,adult,20,sit ,run,0,0,0
4,pr,1,100,0,c,prc,25/04/2012,prc4,green,male,adult,16,sit ,run,0,0,0
5,pr,1,100,0,c,prc,25/04/2012,prc5,green,female,adult,16,shrimp,run,1,0,1
7,pr,1,100,0,c,prc,25/04/2012,prc7,green,male,adult,14,run,run,0,0,0
8,pr,1,100,0,c,prc,25/04/2012,prc8,green,female,juvenile,14,shrimp,sit,1,0,1
9,pr,1,100,0,c,prc,25/04/2012,prc9,green,female,adult,20,sit,run,0,0,0
10,pr,1,100,0,c,prc,25/04/2012,prc10,green,female,adult,20,run,run,0,0,0
11,pr,1,100,0,c,prc,25/04/2012,prc11,green,male,adult,14,run,run,0,0,0
12,pr,1,100,0,c,prc,25/04/2012,prc12,green,male,adult,17,run,run,0,0,0
13,pr,1,100,0,c,prc,25/04/2012,prc13,green,female,adult,21,sit,sit,0,0,0
14,pr,1,100,0,c,prc,25/04/2012,prc14,green,female,adult,23,run,sit,0,0,0
15,pr,1,100,0,c,prc,25/04/2012,prc15,green,male,adult,16,run,run,0,0,0
16,pr,1,100,0,c,prc,25/04/2012,prc16,green,male,adult,16,run,run,0,0,0
17,pr,1,100,0,c,prc,25/04/2012,prc17,green,female,adult,23,run,run,0,0,0
18,pr,1,100,0,c,prc,25/04/2012,prc18,green,female,adult,22,run,run,0,0,0
19,pr,1,100,0,c,prc,25/04/2012,prc19,green,male,adult,18,run,run,0,0,0
20,pr,1,100,0,c,prc,25/04/2012,prc20,green,female,adult,22,run,sit,0,0,0
12a,pr,1,100,0,c,prc,26/04/2012,prc12a,green,male,adult,16,shrimp,shrimp,1,1,1
13a,pr,1,100,0,c,prc,26/04/2012,prc13a,green,female,adult,21,run,sit,0,0,0
14a,pr,1,100,0,c,prc,26/04/2012,prc14a,green,female,juvenile,15,sit,run,0,0,0
15a,pr,1,100,0,c,prc,26/04/2012,prc15a,green,female,juvenile,15,sit,sit,0,0,0
16a,pr,1,100,0,c,prc,26/04/2012,prc16a,green,female,juvenile,12,shrimp,shrimp,1,1,1
17a,pr,1,100,0,c,prc,26/04/2012,prc17a,green,female,adult,21,sit,sit,0,0,0
18a,pr,1,100,0,c,prc,26/04/2012,prc18a,green,female,adult,19,shrimp,sit,1,0,1
19a,pr,1,100,0,c,prc,26/04/2012,prc19a,green,female,adult,20,sit,sit,0,0,0
20a,pr,1,100,0,c,prc,26/04/2012,prc20a,green,female,adult,17,shrimp,shrimp,1,1,1
21a,pr,1,100,0,c,prc,26/04/2012,prc21a,green,male,adult,15,shrimp,sit,1,0,1
23a,pr,1,100,0,c,prc,26/04/2012,prc23a,green,female,juvenile,17,sit,sit,0,0,0
5,r12,-1,70,0.3,c,r12c,29/04/2012,r12c5,dark,male,adult,15,shrimp,shrimp,1,1,1
6,r12,-1,70,0.3,c,r12c,29/04/2012,r12c6,dark,female,juvenile,17,sit,sit,0,0,0
10,r12,-1,70,0.3,c,r12c,29/04/2012,r12c10,dark,male,adult,16,run,run,0,0,0
2,r12,-1,70,0.3,c,r12c,29/04/2012,r12c2,green,female,juvenile,19,sit,sit,0,0,0
7,r12,-1,70,0.3,c,r12c,29/04/2012,r12c7,green,female,adult ,19,run,sit,0,0,0
8,r12,-1,70,0.3,c,r12c,29/04/2012,r12c8,green,male,adult,15,run,sit,0,0,0
12,r12,-1,70,0.3,c,r12c,29/04/2012,r12c12,green,female,juvenile,12,sit,sit,0,0,0
17,r12,-1,70,0.3,c,r12c,29/04/2012,r12c17,green,female,juvenile,17,sit,sit,0,0,0
4,r12,-1,70,0.3,c,r12c,29/04/2012,r12c4,green,male,adult,15,run,run,0,0,0
9,r12,-1,70,0.3,c,r12c,29/04/2012,r12c9,green,female,adult,20,run,shrimp,0,1,1
3,r12,-1,70,0.3,c,r12c,29/04/2012,r12c3,striped,male,adult,15,run,run,0,0,0
11,r12,-1,70,0.3,c,r12c,29/04/2012,r12c11,striped,male,adult,15,run,run,0,0,0
16,r12,-1,70,0.3,c,r12c,29/04/2012,r12c16,striped,male,adult,15,run,run,0,0,0
19,r12,-1,70,0.3,c,r12c,29/04/2012,r12c19,striped,male,adult,14,run,run,0,0,0
13,r12,-1,70,0.3,c,r12c,29/04/2012,r12c13,striped,female,juvenile ,17,run,run,0,0,0
14,r12,-1,70,0.3,c,r12c,29/04/2012,r12c14,striped,male,adult,15,run,sit,0,0,0
2,s,1,100,0,c,sc,26/04/2012,sc2,green,female,adult,17,run,sit,0,0,0
3,s,1,100,0,c,sc,26/04/2012,sc3,green,female,juvenile,13,shrimp,sit,1,0,1
4,s,1,100,0,c,sc,26/04/2012,sc4,green,male,adult,15,shrimp,shrimp,1,1,1
5,s,1,100,0,c,sc,26/04/2012,sc5,green,female,juvenile,14,shrimp,run,1,0,1
6,s,1,100,0,c,sc,26/04/2012,sc6,green,male,adult,15,run,run,0,0,0
7,s,1,100,0,c,sc,26/04/2012,sc7,green,female,adult,19,run,sit,0,0,0
8,s,1,100,0,c,sc,26/04/2012,sc8,green,male,juvenile,13,run,shrimp,0,1,1
9,s,1,100,0,c,sc,26/04/2012,sc9,green,male,juvenile,15,run,sit,0,0,0
10,s,1,100,0,c,sc,26/04/2012,sc10,green,female,juvenile,13,run,shrimp,0,1,1
11,s,1,100,0,c,sc,26/04/2012,sc11,green,male,adult,16,run,run,0,0,0
12,s,1,100,0,c,sc,26/04/2012,sc12,green,male,adult,16,sit,sit,0,0,0
13,s,1,100,0,c,sc,26/04/2012,sc13,green,female,adult,23,run,run,0,0,0
14,s,1,100,0,c,sc,26/04/2012,sc14,green,male,adult,16,sit,shrimp,0,1,1
15,s,1,100,0,c,sc,26/04/2012,sc15,green,male,adult,14,run,sit,0,0,0
16,s,1,100,0,c,sc,26/04/2012,sc16,green,female,adult,23,run,sit,0,0,0
17,s,1,100,0,c,sc,26/04/2012,sc17,green,male,adult,15,sit,sit,0,0,0
18,s,1,100,0,c,sc,26/04/2012,sc18,green,male,adult,,shrimp,sit,1,0,1
