no,number,population,host,pop2,date,color,sex,age,size,t1Time,t2Time,t3Time,t1Beh,t2Beh,t3Beh,t4Beh,shmp,t1Lat,t1Dur,t2Lat,t2Dur,t3Lat,t3Dur,t4Lat,t4Dur,noShmp,noTim,pShmp,dummy
22,4,r12,c,r12c,29/04/2012,green,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,0,3,0,
62,8,hv,a,hva,25/04/2012,grey,male,adult,16,,,,run,run,,,0,,,,,,,,,0,7,0,
114,9,hv,c,hvc,25/04/2012,red,male,adult,16,18.5,11,12,shrimp,shrimp,run,,1,3,350,4,139,,,,,3,8,0.375,
23,5,r12,c,r12c,29/04/2012,red,male,adult,15,16.5,19.5,21,shrimp,shrimp,shrimp,,1,2,239,2,360,4,360,,,1,4,0.25,
28,10,r12,c,r12c,29/04/2012,red,male,adult,16,16.5,19.5,21,run,run,run,,0,,,,,,,,,2,9,0.222222222,
57,3,hv,a,hva,25/04/2012,striped,male,adult,16,,,,run,sit,,,0,,,,,,,,,0,2,0,
72,18,hv,a,hva,25/04/2012,striped,male,adult,14,,,,sit,sit,,,0,,,,,,,,,2,17,0.117647059,
74,20,hv,a,hva,25/04/2012,striped,male,adult,17,,,,sit,shrimp,,,1,,,3,26,,,,,3,19,0.157894737,
112,7,hv,c,hvc,25/04/2012,striped,male,adult,16,18.5,11,12,run,sit,run,,0,,,,,,,,,2,6,0.333333333,
116,11,hv,c,hvc,25/04/2012,striped,male,adult,14,18.5,11,12,sit,sit,sit,,0,,,,,,,,,3,10,0.3,X
122,7,log,a,loga,27/04/2012,striped,male,adult,,11,12,14,run,run,run,,0,,,,,,,,,1,6,0.166666667,
138,2,og,a,oga,27/04/2012,striped,male,adult,13,13,14,15,run,run,run,,0,,,,,,,,,0,1,0,
143,7,og,a,oga,27/04/2012,striped,male,adult,15,13,14,15,sit,run,run,,0,,,,,,,,,0,6,0,
16,17,og,c,ogc,29/04/2012,striped,male,adult,15,12,14,15,shrimp,run,sit,,1,2,360,,,,,,,5,16,0.3125,
50,9,out,a,outa,24/04/2012,striped,male,adult,15,,,,sit,sit,sit,run,0,,,,,,,,,8,15,0.533333333,
54,13,out,a,outa,24/04/2012,striped,male,adult,14,,,,run,sit,sit,sit,0,,,,,,,,,9,19,0.473684211,
21,3,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,0,2,0,
29,11,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,shrimp,,1,,,,,4,118,,,3,10,0.3,
33,16,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,3,14,0.214285714,
35,19,r12,c,r12c,29/04/2012,striped,male,adult,14,16.5,19.5,21,run,run,run,,0,,,,,,,,,3,16,0.1875,X
32,14,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,sit,sit,,0,,,,,,,,,3,13,0.230769231,
25,7,r12,c,r12c,29/04/2012,green,female,adult,19,16.5,19.5,21,run,sit,sit,,0,,,,,,,,,1,6,0.166666667,
8,9,og,c,ogc,29/04/2012,striped,female,adult,18,12,14,15,sit,run,run,,0,,,,,,,,,1,8,0.125,
60,6,hv,a,hva,25/04/2012,green,female,juvenile,12,,,,sit,sit,,,0,,,,,,,,,0,5,0,
76,23,hv,a,hva,25/04/2012,green,female,juvenile,15,,,,sit,sit,,,0,,,,,,,,,3,21,0.142857143,X
109,4,hv,c,hvc,25/04/2012,green,female,juvenile,16,18.5,11,12,sit,run,sit,,0,,,,,,,,,0,3,0,
2,3,og,c,ogc,29/04/2012,green,female,juvenile,17,12,14,15,run,run,sit,,0,,,,,,,,,0,2,0,
4,5,og,c,ogc,29/04/2012,green,female,juvenile,15,12,14,15,sit,sit,run,,0,,,,,,,,,0,4,0,
5,6,og,c,ogc,29/04/2012,green,female,juvenile,14,12,14,15,run,sit ,run,,0,,,,,,,,,0,5,0,
6,7,og,c,ogc,29/04/2012,green,female,juvenile,12,12,14,15,shrimp,shrimp,shrimp,,1,2,222,2,299,1,105,,,1,6,0.166666667,
7,8,og,c,ogc,29/04/2012,green,female,juvenile,16,12,14,15,sit,sit,run,,0,,,,,,,,,1,7,0.142857143,
12,13,og,c,ogc,29/04/2012,green,female,juvenile,11,12,14,15,run,sit,sit,,0,,,,,,,,,3,12,0.25,
17,19,og,c,ogc,29/04/2012,green,female,juvenile,14,12,14,15,sit,run,run,,0,,,,,,,,,5,17,0.294117647,
36,21,out,a,outa,24/04/2012,green,female,juvenile,19,,,,shrimp,sit,shrimp,shrimp,1,,64,,,1,31,3,100,1,1,1,
45,19,out,a,outa,24/04/2012,green,female,juvenile,13,,,,run,run,run,sit,0,,,,,,,,,6,10,0.6,
49,15,out,a,outa,24/04/2012,green,female,juvenile,17,,,,run,run,run,run,0,,,,,,,,,8,14,0.571428571,
77,2,pr,c,prc,25/04/2012,green,female,juvenile,15,11,12,13,sit,sit,sit,,0,,,,,,,,,0,1,0,
83,8,pr,c,prc,25/04/2012,green,female,juvenile,14,11,12,13,shrimp,sit,shrimp,,1,3,139,,,3,47,,,3,7,0.428571429,
98,14a,pr,c,prc,26/04/2012,green,female,juvenile,15,11,12,13,sit,run,sit,,0,,,,,,,,,5,22,0.227272727,
99,15a,pr,c,prc,26/04/2012,green,female,juvenile,15,11,12,13,sit,sit,sit,,0,,,,,,,,,5,23,0.217391304,
100,16a,pr,c,prc,26/04/2012,green,female,juvenile,12,11,12,13,shrimp,shrimp,shrimp,,1,,,,,,,,,6,24,0.25,
106,23a,pr,c,prc,26/04/2012,green,female,juvenile,17,11,12,13,sit,sit,sit,,0,,,,,,,,,9,30,0.3,X
20,2,r12,c,r12c,29/04/2012,green,female,juvenile,19,16.5,19.5,21,sit,sit,sit,,0,,,,,,,,,0,1,0,
30,12,r12,c,r12c,29/04/2012,green,female,juvenile,12,16.5,19.5,21,sit,sit,sit,,0,,,,,,,,,3,11,0.272727273,
34,17,r12,c,r12c,29/04/2012,green,female,juvenile,17,16.5,19.5,21,sit,sit,run,,0,,360,,,,,,,3,15,0.2,
160,3,s,c,sc,26/04/2012,green,female,juvenile,13,18,21,22,shrimp,sit,run,,1,4,10,,,,,,,1,2,0.5,
162,5,s,c,sc,26/04/2012,green,female,juvenile,14,18,21,22,shrimp,run,sit,,1,4,282,,,,,,,3,4,0.75,
167,10,s,c,sc,26/04/2012,green,female,juvenile,13,18,21,22,run,shrimp,shrimp,,1,,,4,250,1,103,,,6,9,0.666666667,
127,12,log,a,loga,27/04/2012,green,female,juvenile,14,11,12,14,sit,run,sit,,0,,,,,,,,,1,11,0.090909091,
59,5,hv,a,hva,25/04/2012,grey,female,juvenile,9,,,,sit,sit,,,0,,,,,,,,,0,4,0,
155,19,og,a,oga,27/04/2012,grey,female,juvenile,14,13,14,15,run,run,run,,0,,,,,,,,,3,18,0.166666667,
37,14,out,a,outa,24/04/2012,grey,female,juvenile,13,,,,sit,shrimp,run,run,1,,,,33,,,,,2,2,1,
65,11,hv,a,hva,25/04/2012,red,female,juvenile,7,,,,sit,sit,,,0,,,,,,,,,0,10,0,
24,6,r12,c,r12c,29/04/2012,red,female,juvenile,17,16.5,19.5,21,sit,sit,sit,,0,,,,,,,,,1,5,0.2,
64,10,hv,a,hva,25/04/2012,striped,female,juvenile,21,,,,run,sit,,,0,,,,,,,,,0,9,0,
66,12,hv,a,hva,25/04/2012,striped,female,juvenile,11,,,,sit,shrimp,,,1,,,4,37,,,,,1,11,0.090909091,
68,14,hv,a,hva,25/04/2012,striped,female,juvenile,14,,,,sit,sit,,,0,,,,,,,,,1,13,0.076923077,
69,15,hv,a,hva,25/04/2012,striped,female,juvenile,18,,,,run,sit,,,0,,,,,,,,,1,14,0.071428571,
73,19,hv,a,hva,25/04/2012,striped,female,juvenile,20,,,,sit,sit,,,0,,,,,,,,,2,18,0.111111111,
75,21,hv,a,hva,25/04/2012,striped,female,juvenile,16,,,,run,run,,,0,,,,,,,,,3,20,0.15,
110,5,hv,c,hvc,25/04/2012,striped,female,juvenile,11,18.5,11,12,shrimp,sit,run,,1,2,360,,,,,,,1,4,0.25,
123,8,log,a,loga,27/04/2012,striped,female,juvenile,16,11,12,14,run,run,run,,0,,,,,,,,,1,7,0.142857143,
129,14,log,a,loga,27/04/2012,striped,female,juvenile,12,11,12,14,sit,sit,sit,,0,,,,,,,,,2,13,0.153846154,
130,15,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,sit ,shrimp,,1,,,,,2,107,,,3,14,0.214285714,
131,16,log,a,loga,27/04/2012,striped,female,juvenile,12,11,12,14,run,run,shrimp,,1,,,,,2,16,,,4,15,0.266666667,
132,17,log,a,loga,27/04/2012,striped,female,juvenile,14,11,12,14,sit,run,run,,0,,,,,,,,,4,16,0.25,
134,19,log,a,loga,27/04/2012,striped,female,juvenile,11,11,12,14,sit,shrimp,run,,1,,,3,61,,,,,5,18,0.277777778,
135,20,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,shrimp,shrimp,,1,,,2,67,5,68,,,6,19,0.315789474,
136,21,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,shrimp,run,,1,,,1,360,,,,,7,20,0.35,
137,23,log,a,loga,27/04/2012,striped,female,juvenile,14,11,12,14,run,run,run,,0,,,,,,,,,7,21,0.333333333,X
139,3,og,a,oga,27/04/2012,striped,female,juvenile,10,13,14,15,sit,run,run,,0,,,,,,,,,0,2,0,
146,10,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,run,sit,run,,0,,,,,,,,,1,9,0.111111111,
148,12,og,a,oga,27/04/2012,striped,female,juvenile,10,13,14,15,shrimp,run,sit,,1,3,360,,,,,,,2,11,0.181818182,
149,13,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,shrimp,sit,sit,,1,4,23,,,,,,,3,12,0.25,
150,14,og,a,oga,27/04/2012,striped,female,juvenile,15,13,14,15,sit,run,sit,,0,,,,,,,,,3,13,0.230769231,
151,15,og,a,oga,27/04/2012,striped,female,juvenile,15,13,14,15,run,sit,run,,0,,,,,,,,,3,14,0.214285714,
152,16,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,sit,sit,run,,0,,,,,,,,,3,15,0.2,
153,17,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,sit,sit,sit,,0,,,,,,,,,3,16,0.1875,
157,21,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,sit,sit,run,,0,,,,,,,,,4,20,0.2,
158,23,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,run,run,run,,0,,,,,,,,,4,21,0.19047619,X
1,2,og,c,ogc,29/04/2012,striped,female,juvenile,19,12,14,15,run,run,run,,0,,,,,,,,,0,1,0,
3,4,og,c,ogc,29/04/2012,striped,female,juvenile,14,12,14,15,sit,sit,sit,,0,,,,,,,,,0,3,0,
10,11,og,c,ogc,29/04/2012,striped,female,juvenile,16,12,14,15,sit,run,run,,0,,,,,,,,,2,10,0.2,
14,15,og,c,ogc,29/04/2012,striped,female,juvenile,14,12,14,15,run,run,run,,0,,,,,,,,,4,14,0.285714286,
18,20,og,c,ogc,29/04/2012,striped,female,juvenile,15,12,14,15,sit,sit,sit,,0,,,,,,,,,5,18,0.277777778,
42,23,out,a,outa,24/04/2012,striped,female,juvenile,14,,,,shrimp,run,sit,sit,1,1,,,,,,,,5,7,0.714285714,
48,3,out,a,outa,24/04/2012,striped,female,juvenile,16,,,,shrimp,sit,shrimp,shrimp,1,1,136,,,3,90,2,70,8,13,0.615384615,
